Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
24.0,5.0,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,20002.518724298156
35.0,4.3,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,20002.513571040923
38.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,36,20002.511542579512
27.0,4.9,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,20002.488144256637
20.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,0.0,Yes,,42,20002.505004306473
37.0,4.9,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,29,20002.513818897543
22.0,5.0,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,12,20002.505742936475
,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,27,20002.514138897168
38.0,3.7,Sandstorms,Jam,2,Drinks,electric_scooter,3.0,No,Metropolitian,44,20002.496957495794
,,,,3,Snack,electric_scooter,1.0,No,Metropolitian,31,20002.51972672103
34.0,4.4,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,51,20002.505894025373
35.0,5.0,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,37,20002.513965593716
29.0,4.4,Cloudy,Jam,2,Buffet,scooter,1.0,No,,36,20002.5087327962
20.0,4.8,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,15,20002.519667195436
26.0,4.6,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,23,20002.513619928686
37.0,4.7,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,26,20002.4884771235
30.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,53,20002.5055668242
37.0,4.9,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,20002.489427743432
23.0,5.0,Sunny,Low,2,Meal,scooter,1.0,No,Urban,24,20002.51566471766
22.0,4.7,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,20002.498152402422
38.0,5.0,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,29,20002.51399220783
29.0,4.9,Windy,High,2,Snack,electric_scooter,1.0,No,Urban,13,20002.520241262337
20.0,4.9,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,40,20002.498016951326
30.0,4.8,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,26,20002.515665273495
24.0,4.7,Stormy,Jam,1,Meal,scooter,0.0,No,Urban,28,20002.48931162393
28.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,26,20002.508240869884
39.0,4.9,Windy,Jam,0,Snack,motorcycle,0.0,Yes,Semi-Urban,50,20002.510921865294
29.0,4.8,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,20002.50679074448
33.0,3.9,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,20002.50589187066
35.0,3.6,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,32,20002.505114409934
28.0,4.5,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,20002.49756150012
30.0,4.4,Fog,Jam,2,Snack,scooter,2.0,No,Metropolitian,40,20002.48764792747
,,Sunny,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,28,20002.505567253073
35.0,4.6,Windy,Medium,0,Snack,motorcycle,,No,Metropolitian,31,20002.499133313802
25.0,5.0,Sandstorms,Jam,2,Buffet,scooter,0.0,No,Metropolitian,25,20002.496957495794
,,,,3,Meal,scooter,0.0,No,Metropolitian,37,20002.505892299923
26.0,4.7,Windy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,26,20002.513899887395
37.0,4.9,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,25,20002.498495899927
32.0,4.8,Sandstorms,High,1,Snack,scooter,1.0,No,Metropolitian,25,20002.517490476657
